,Restaurant Name,Restaurant Rating,Restaurant Price Level,Restaurant Total Reviews,Restaurant Address
0,Tadamasa,4.5,1,437,"34672 Alvarado-Niles Rd, Union City"
1,Ajisen Ramen,4.3,1,341,"47890 Warm Springs Blvd, Fremont"
2,Ramen Shu,4.4,2,317,"34308 Alvarado-Niles Rd, Union City"
3,Yugo Ramen,4.4,2,272,"2014 Newpark Mall Rd, Newark"
4,Bodo Lucky Japanese Restaurant,4.4,1,262,"46260 Warm Springs Blvd, Fremont"
5,Miki Bistro,4,2,249,"39156 Paseo Padre Pkwy, Fremont"
6,Maneki Sushi Union City,4.2,2,213,"31810 Alvarado Blvd, Union City"
7,Harumi Sushi & Tofu House,4.4,2,211,"5790 Jarvis Ave, Newark"
8,Sweet Garden,4.4,2,156,"39473 Fremont Blvd, Fremont"
9,Papasan Rolls and Bowls,4.4,2,115,"3353 Walnut Ave, Fremont"
10,SOJO Ramen,4.4,2,51,"43779 Boscell Rd, Fremont"
11,Shumi Ramen House,4.8,1,20,"43691 Mission Blvd, Fremont"
